Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Mogi das Cruzes,2022,122673.20,503.80,118.80,104.10,19.40,252.00,9.50
Mogi Guaçu,2022,37681.30,535.30,202.20,144.50,55.10,112.90,20.60
Mogi Mirim,2022,21486.30,169.00,78.00,39.00,19.00,33.00,0.00
Mombuca,2022,1600.00,,,,,,
Monções,2022,1505.00,195.00,38.00,64.00,84.00,6.00,3.00
Mongaguá,2022,25382.00,800.00,,,,,
Monte Alegre do Sul,2022,1746.00,,,,,,
Monte Alto,2022,17030.00,437.00,145.00,92.00,90.00,92.00,18.00
Monte Aprazível,2022,7110.00,80.00,15.00,15.00,30.00,10.00,10.00
Monte Azul Paulista,2022,4226.40,,,,,,
Monteiro Lobato,2022,825.80,,,,,,
Monte Mor,2022,15227.60,,,,,,
Morro Agudo,2022,7221.80,77.80,27.00,19.50,15.00,8.00,8.30
Morungaba,2022,3685.60,334.00,154.00,48.00,27.00,67.00,38.00
Motuca,2022,2400.00,2.00,,,,,
Murutinga do Sul,2022,1454.00,20.40,9.00,2.00,8.00,0.60,0.80
Nantes,2022,1100.00,6.00,,,,,
Narandiba,2022,948.00,90.00,,,,,
Natividade da Serra,2022,2500.00,,,,,,
Nazaré Paulista,2022,6225.10,,,,,,
Neves Paulista,2022,5300.00,,,,,,
Nhandeara,2022,3014.00,,,,,,
Nipoã,2022,2150.00,,,,,,
Nova Aliança,2022,1556.20,39.00,4.30,9.00,10.90,11.70,3.10
Nova Campina,2022,374.40,,,,,,
Nova Canaã Paulista,2022,362.00,4.00,,,,,
Nova Europa,2022,2017.80,,,,,,
Nova Granada,2022,4350.00,,,,,,
Nova Guataporanga,2022,629.00,28.80,15.00,8.30,2.90,1.00,1.60
Nova Independência,2022,1240.00,,,,,,
Novais,2022,1322.80,,,,,,
Nova Luzitânia,2022,727.10,91.00,20.00,20.00,30.00,20.00,1.00
Nova Odessa,2022,17202.70,352.10,234.00,78.20,23.00,15.60,1.30
Novo Horizonte,2022,8884.00,119.00,29.00,18.00,29.00,24.00,19.00
Nuporanga,2022,1900.70,,,,,,
Ocauçu,2022,856.00,40.80,6.00,9.50,15.00,2.00,8.30
Óleo,2022,466.00,36.00,10.80,7.90,1.80,8.30,7.20
Olímpia,2022,50604.00,7.00,1.00,0.00,5.00,0.00,1.00
Onda Verde,2022,2998.00,36.00,10.00,5.00,15.00,6.00,0.00
Oriente,2022,1650.00,5.00,,,,,
